Date,Open,High,Low,Close,Volume
2000-05-10,-26046.4765625,-26441.112415005664,-25257.198782522883,-26046.4765625,32445915.0
2000-05-11,-25257.201171875,-25651.840099196725,-24467.87471750065,-25257.201171875,12785752.0
2000-05-12,-25651.83984375,-26046.478767141827,-25257.200920358177,-25651.83984375,10428203.0
2000-05-15,-25257.201171875,-25651.840099196725,-24467.87471750065,-25257.201171875,9185067.0
2000-05-16,-24862.515625,-25257.20472633909,-24467.878160882257,-24862.515625,13952177.0
2000-05-17,-24073.236328125,-25651.84067241866,-23283.959974585785,-24073.236328125,29086154.0
2000-05-18,-23678.599609375,-24073.237038417767,-22494.684284763356,-23678.599609375,16025405.0
2000-05-22,-22889.318359375,-23678.594568164026,-21705.403286820787,-22889.318359375,8457808.0
2000-05-23,-22889.318359375,-23678.594568164026,-21705.403286820787,-22889.318359375,8457808.0
2000-05-26,-22494.681640625,-23283.957924676688,-22494.681640625,-22494.681640625,5702921.0
2000-06-02,-22100.046875,-23678.59963003149,-21310.718860267458,-22100.046875,57636736.0
2000-06-06,-22100.046875,-22889.323252515747,-21705.407926871292,-22100.046875,21698812.0
2000-06-09,-24073.236328125,-24467.87526426542,-23678.598910726207,-24073.236328125,29929538.0
2000-06-12,-24073.236328125,-24073.236328125,-23678.598910726207,-24073.236328125,8659693.0
2000-06-13,-22889.318359375,-23283.95570439884,-22100.04215058597,-22889.318359375,28170478.0
2000-06-14,-22494.681640625,-23283.957924676688,-22100.0442579699,-22494.681640625,74961195.0
2000-06-15,-20916.076171875,-22100.04292301643,-20521.438813057975,-20916.076171875,40062417.0
2000-06-16,-19337.525390625,-20916.078001455768,-18548.249085209616,-19337.525390625,40163903.0
2000-06-19,-19534.845703125,-19732.165167815252,-18745.569363105595,-19534.845703125,50480136.0
2000-06-20,-20126.802734375,-20126.802734375,-19732.16532067887,-20126.802734375,13144327.0
2000-06-21,-19929.486328125,-19929.486328125,-19732.16684664662,-19929.486328125,4394543.0
2000-06-22,-20126.802734375,-20521.44166681274,-19929.48478689774,-20126.802734375,22779969.0
2000-06-23,-20126.802734375,-20521.44166681274,-19732.16532067887,-20126.802734375,7585183.0
2000-06-26,-20126.802734375,-20126.802734375,-19732.16532067887,-20126.802734375,2205453.0
2000-06-27,-19534.845703125,-19929.4846325055,-19337.526238434748,-19534.845703125,30903033.0
2000-06-28,-19732.166015625,-19929.485488793252,-19534.846542456744,-19732.166015625,7773588.0
2000-06-29,-20126.802734375,-20126.802734375,-19732.16532067887,-20126.802734375,16442045.0
2000-06-30,-19732.166015625,-19732.166015625,-19337.52706928849,-19732.166015625,2395500.0
2000-07-03,-19929.486328125,-19929.486328125,-19337.527883689865,-19929.486328125,2441867.0
2000-07-04,-19534.845703125,-19732.165167815252,-19337.526238434748,-19534.845703125,9343396.0
2000-07-05,-19337.525390625,-19732.16430270346,-19140.207453327304,-19337.525390625,28612008.0
2000-07-06,-19337.525390625,-19534.84484666423,-19140.207453327304,-19337.525390625,14849805.0
2000-07-07,-18548.251953125,-18942.890926222208,-18350.933985318163,-18548.251953125,7101977.0
2000-07-10,-18745.568359375,-18942.88781349979,-18350.93096986694,-18745.568359375,13305272.0
2000-07-11,-18548.251953125,-19140.210412770815,-18350.933985318163,-18548.251953125,65406673.0
2000-07-12,-17758.923828125,-17956.293415602406,-17166.965421114313,-17758.923828125,40292232.0
2000-07-13,-17758.923828125,-18153.61288460597,-17758.923828125,-17758.923828125,25885379.0
2000-07-14,-17758.923828125,-17758.923828125,-17364.284890117873,-17758.923828125,4743217.0
2000-07-17,-16969.646484375,-17956.29237176945,-16772.327026841987,-16969.646484375,22442603.0
2000-07-18,-16575.00390625,-16969.642734101246,-16377.684492324377,-16575.00390625,14830640.0
2000-07-19,-16575.00390625,-16969.642734101246,-16377.684492324377,-16575.00390625,14830640.0
2000-07-20,-17166.96875,-17561.607764532466,-16969.650761475692,-17166.96875,13561467.0
2000-07-21,-17561.603515625,-17561.603515625,-17166.964596572667,-17561.603515625,33459169.0
2000-07-24,-17956.296875,-17956.296875,-17561.6077424796,-17956.296875,23713375.0
2000-07-25,-18153.615234375,-18153.615234375,-17758.926126806233,-18153.615234375,17272739.0
2000-07-26,-18153.615234375,-18548.25270472161,-18153.615234375,-18153.615234375,25716387.0
2000-07-27,-17758.923828125,-17956.293415602406,-17364.284890117873,-17758.923828125,22187327.0
2000-07-28,-17956.296875,-18153.616382018452,-17758.92724949805,-17956.296875,17463109.0
2000-07-31,-18153.615234375,-18350.93472891922,-17956.29573983078,-18153.615234375,12395657.0
2000-08-02,-18548.251953125,-18745.571439673604,-18153.61449876956,-18548.251953125,26982369.0
2000-08-03,-18153.615234375,-18548.25270472161,-17956.29573983078,-18153.615234375,17796359.0
2000-08-04,-18153.615234375,-18548.25270472161,-18153.615234375,-18153.615234375,23935530.0
2000-08-07,-17758.923828125,-17956.293415602406,-17561.604359121437,-17758.923828125,15302013.0
2000-08-08,-17561.603515625,-17956.29255314877,-17364.284056098833,-17561.603515625,8525257.0
2000-08-09,-17364.28515625,-17561.60462827776,-17166.96568422224,-17364.28515625,11471879.0
2000-08-10,-16969.646484375,-17166.96442316647,-16772.327026841987,-16969.646484375,5957172.0
2000-08-14,-17956.296875,-17956.296875,-17166.968728442695,-17956.296875,22731033.0
2000-08-15,-17758.923828125,-18153.61288460597,-17561.604359121437,-17758.923828125,11717691.0
2000-08-16,-17364.28515625,-17561.60462827776,-17166.96568422224,-17364.28515625,11040496.0
2000-08-17,-17166.96875,-17166.96875,-16772.331254209457,-17166.96875,10124811.0
2000-08-18,-17364.28515625,-17364.28515625,-17364.28515625,-17364.28515625,85981045.0
2000-08-21,-17364.28515625,-17758.92410030552,-17364.28515625,-17364.28515625,17377908.0
2000-08-22,-16575.00390625,-17166.960629285662,-16180.366597139962,-16575.00390625,59131775.0
2000-08-24,-17758.923828125,-17758.923828125,-17364.284890117873,-17758.923828125,11597652.0
2000-08-25,-17364.28515625,-17561.60462827776,-17166.96568422224,-17364.28515625,5852531.0
2000-08-28,-17364.28515625,-17561.60462827776,-17166.96568422224,-17364.28515625,10851020.0
2000-08-31,-17166.96875,-17758.9272717987,-17166.96875,-17166.96875,7260043.0
2000-09-01,-17166.96875,-17364.288257266235,-16969.650761475692,-17166.96875,11559397.0
2000-09-04,-17166.96875,-17364.288257266235,-16969.650761475692,-17166.96875,5288942.0
2000-09-06,-17364.28515625,-17758.92410030552,-17166.96568422224,-17364.28515625,27916957.0
2000-09-07,-16575.00390625,-17364.280043211285,-16377.684492324377,-16575.00390625,38979162.0
2000-09-08,-16377.690429687498,-16377.690429687498,-15785.733492051171,-16377.6904296875,39457921.0
2000-09-11,-15983.0556640625,-16180.37518268881,-15785.736145436193,-15983.0556640625,9948011.0
2000-09-12,-14799.1357421875,-15588.41206708142,-14799.1357421875,-14799.1357421875,24926000.0
2000-09-13,-15785.732421874998,-15983.051893957307,-15391.094996452039,-15785.732421875,19082695.0
2000-09-14,-15588.4130859375,-15588.4130859375,-15193.775657067887,-15588.4130859375,14895965.0
2000-09-15,-15193.7744140625,-15391.093871725401,-14996.454956399599,-15193.7744140625,5644999.0
2000-09-20,-14404.498046875,-14601.817503780685,-13812.489557687175,-14404.498046875,30021181.0
2000-09-28,-15391.093749999998,-15391.093749999998,-14996.454837795325,-15391.09375,33722207.0
2000-09-29,-14601.8154296875,-14996.452768701656,-14601.8154296875,-14601.8154296875,4663737.0
2000-10-02,-14799.1357421875,-14996.455203096373,-14601.817800020197,-14799.1357421875,4273390.0
